latitude,longitude,Number of Bikes,name,categories
34.04818,-118.258773,22,Alamo Drafthouse Downtown,Movie Theater
34.057455,-118.237646,21,Mr Churro,"Bakery, Fast Food Restaurant, Mexican Restaurant"
34.057103,-118.238065,21,La Noche Buena Restaurant,Mexican Restaurant
33.99769,-118.46063,18,El Pollo Loco,Fast Food Restaurant
33.998074,-118.460285,18,Ross Dress for Less,Clothing Store
33.999157,-118.461225,18,Ralphs,Grocery Store
33.997586,-118.460699,18,Pizza Hut,"Pizzeria, Dining and Drinking"
33.996222,-118.477132,15,The Rose Cafe & Market,"Café, American Restaurant"
34.044919,-118.256236,14,Golden Gopher,"Cocktail Bar, Lounge, BBQ Joint"
34.044612,-118.256301,14,Sweetgreen,"Restaurant, Vegan and Vegetarian Restaurant"
34.045768,-118.257189,14,Whole Foods,Grocery Store
34.063122,-118.297468,13,Hangari Bajirak Kalguksoo,Korean Restaurant
34.038912,-118.235891,13,The Factory Kitchen,Italian Restaurant
33.998828,-118.4733,13,Venice Beach Wines,"Wine Bar, Deli, Sandwich Spot"
33.998048,-118.473354,13,Wabi on Rose,Sushi Restaurant
33.99877,-118.473016,13,Chulita,"Cocktail Bar, Mexican Restaurant"
33.997949,-118.473282,13,Cafe Gratitude,"Café, Vegan and Vegetarian Restaurant"
33.998505,-118.472869,13,Jeni's Splendid Ice Creams,"Ice Cream Parlor, Restaurant"
34.062987,-118.297466,13,Sun Nong Dan,"Korean Restaurant, Soup Spot"
34.063874,-118.29628,13,Sharp Specialty Coffee,Coffee Shop
34.063777,-118.297127,13,Chapman Plaza,"Bar, Gastropub"
34.063736,-118.297339,13,Kang Ho Dong Baek Jeong,"BBQ Joint, Korean BBQ Restaurant"
34.063777,-118.297127,13,Quarters Korean BBQ,"BBQ Joint, Korean BBQ Restaurant, Tapas Restaurant"
34.063168,-118.297116,13,Chunju Han-il Kwan,Korean Restaurant
34.001427,-118.46869,12,Thomas Famous Burgers&Chili Dogs,Burger Joint
33.976443,-118.417882,12,Starbucks,Coffee Shop
33.976443,-118.417882,12,Hopdoddy Burger Bar,"Bar, Burger Joint"
33.976735,-118.418241,12,Whole Foods,Grocery Store
34.001494,-118.468691,12,New Bootleg Taco Stand on Venice,"Taco Restaurant, Street Food Gathering"
34.05243,-118.302572,12,Paris Baguette,"Bakery, Coffee Shop, Restaurant"
34.001049,-118.469813,12,Chicas Tacos,Restaurant
34.001116,-118.469814,12,Whole Foods,Grocery Store
34.052968,-118.301662,12,Somi Kim O D Doctor Of Optometry,"Ophthalmologist, Eyecare Store"
34.04476,-118.264864,12,The Novo,"Concert Hall, Rock Club, Theater"
34.04467,-118.26489,12,The GRAMMY Museum,History Museum
34.073645,-118.439269,12,Jimmy's Coffee House,"Coffee Shop, Restaurant"
