latitude,longitude,Number of Bikes,lat_lon,business_name,categories,address,rating,review_count
34.0485,-118.25854,22,"(34.0485, -118.25854)",,,,,
34.05661,-118.23721,21,"(34.05661, -118.23721)",,,,,
34.03998,-118.2664,20,"(34.03998, -118.2664)",,,,,
33.99834,-118.46101,18,"(33.99834, -118.46101)",,,,,
34.01431,-118.49134,18,"(34.01431, -118.49134)",,,,,
33.99624,-118.47745,15,"(33.99624, -118.47745)",,,,,
34.04554,-118.25667,14,"(34.04554, -118.25667)",,,,,
34.102,-118.33741,14,"(34.102, -118.33741)",,,,,
34.08371,-118.29602,14,"(34.08371, -118.29602)",,,,,
34.06335,-118.2968,13,"(34.06335, -118.2968)",,,,,
33.99868,-118.47298,13,"(33.99868, -118.47298)",,,,,
34.03922,-118.23649,13,"(34.03922, -118.23649)",,,,,
34.0314,-118.45363,12,"(34.0314, -118.45363)",,,,,
34.04381,-118.26497,12,"(34.04381, -118.26497)",,,,,
34.03687,-118.4255,12,"(34.03687, -118.4255)",,,,,
34.05243,-118.30202,12,"(34.05243, -118.30202)",,,,,
34.00088,-118.46891,12,"(34.00088, -118.46891)",,,,,
33.97619,-118.41842,12,"(33.97619, -118.41842)",,,,,
34.07365,-118.43984,12,"(34.07365, -118.43984)",,,,,
33.99537,-118.4648,12,"(33.99537, -118.4648)",,,,,
